FPOGX,FPOGY,FPOGD
10,3,0.57498
8,7,0.47623
9,9,0.37769
9,7,0.22983
9,9,0.78836
11,12,0.34473
11,12,0.29562
12,14,0.32861
11,14,0.24622
10,11,0.70639
9,8,0.22983
8,6,0.36136
10,5,0.3779
11,6,0.2464
12,6,0.4765
11,12,0.27921
11,14,0.41058
9,5,0.52557
9,7,0.27924
10,9,0.34518
11,10,0.54199
11,11,0.37769
10,17,0.50937
10,16,0.06583
9,4,0.36157
9,5,0.54196
9,5,0.27927
9,12,0.22974
9,14,0.29565
8,16,0.59149
8,17,0.41061
8,16,0.23013
8,13,0.08185
9,4,0.21323
9,11,0.21347
9,9,0.27927
9,15,0.42679
8,17,0.70636
7,6,0.27914
6,5,0.39395
6,6,0.29599
6,17,0.32834
6,8,0.27914
9,15,0.21359
9,10,0.52585
10,11,0.2955
11,13,0.22998
11,15,0.37769
7,5,0.47635
6,6,0.47638
7,7,0.24631
7,7,0.62411
6,7,0.42709
6,11,0.21347
6,16,0.29538
6,16,0.57498
7,6,0.2627
6,7,0.2626
9,16,0.263
10,13,0.08212
10,9,0.22977
12,11,0.37918
12,8,0.49277
11,13,0.19736
11,16,0.4758
6,14,0.1973
6,7,0.29547
6,6,0.57498
6,16,0.70654
7,17,0.47638
8,8,0.21387
7,15,0.27927
11,15,0.54218
11,8,0.80487
11,15,0.41077
10,16,0.31244
9,16,0.27908
9,10,0.49286
8,18,0.27911
7,15,0.24625
9,14,0.24649
10,10,0.19714
11,8,0.4599
11,7,0.26285
11,15,0.78888
10,13,0.22952
8,10,0.19727
9,4,0.52545
8,7,0.22992
7,14,0.44351
8,16,0.42731
7,16,0.4765
9,8,0.21353
9,15,0.3616
8,9,0.41092
8,14,0.32861
8,14,0.54208
7,8,0.19714
6,15,0.29562
10,15,0.4108
11,14,0.26288
11,10,0.31223
11,9,0.34482
11,10,0.24634
11,13,0.27936
10,14,0.55838
6,15,0.32837
8,12,0.21341
7,8,0.26273
8,9,0.21362
8,10,0.24649
8,11,0.21335
8,12,0.31213
7,5,0.80521
7,9,0.39423
7,16,0.70636
9,15,0.31232
10,7,0.19717
9,15,0.27927
6,13,0.19687
6,6,0.27908
6,6,0.52576
6,16,0.82135
9,16,0.31226
6,16,0.40894
7,6,0.24634
7,5,0.37787
7,7,0.41064
6,8,0.41089
7,15,0.83801
10,15,0.42725
10,9,0.19727
11,8,0.31238
10,11,0.2135
10,16,0.68982
10,13,0.42712
9,8,0.2135
7,15,0.26288
6,13,0.24652
7,10,0.21362
7,8,0.263
6,9,0.73926
8,14,0.34515
8,11,0.22998
9,6,0.31232
8,10,0.42682
10,14,0.45972
10,8,0.19672
11,13,0.34497
11,8,0.29565
11,14,0.2301
12,9,0.39435
10,14,0.29565
