FPOGX,FPOGY,FPOGD
7,6,0.6571
8,6,0.21332
14,7,0.23035
9,6,0.36328
7,5,0.65717
7,7,0.59137
7,6,0.37762
11,9,0.32861
8,10,0.49274
8,10,0.27899
15,7,0.3446
9,4,0.22968
7,3,0.69025
15,9,0.29547
9,10,0.37787
9,10,0.26288
11,8,0.2467
14,6,0.22998
11,4,0.22992
9,4,0.24628
7,4,0.5257
12,6,0.26276
10,8,0.26282
8,8,0.31195
16,7,0.24634
14,5,0.19733
12,4,0.24628
8,4,0.26282
14,9,0.21362
14,5,0.21429
13,8,0.22974
10,7,0.26288
8,5,0.46002
13,5,0.29529
11,4,0.32861
9,3,0.26276
7,3,0.67334
8,3,0.32874
8,4,0.27924
11,10,0.263
11,10,0.5752
9,9,0.39441
3,17,0.42749
8,10,0.27966
15,8,0.26367
10,4,0.32861
8,3,0.22974
8,3,0.3775
15,7,0.27905
10,7,0.23016
8,7,0.34497
14,8,0.36151
12,8,0.2627
10,7,0.54205
14,6,0.27924
11,8,0.32837
10,7,0.31195
15,7,0.29559
13,7,0.32849
10,7,0.22986
8,8,0.31183
13,6,0.2793
10,4,0.27924
8,4,0.41052
10,4,0.19696
14,6,0.32843
8,11,0.5094
13,9,0.31213
15,8,0.26221
12,8,0.2464
9,8,0.41064
15,8,0.2959
13,7,0.2132
10,6,0.24615
9,7,0.31226
8,7,0.34497
13,7,0.36151
10,7,0.70648
11,7,0.47638
10,8,0.27942
7,9,0.41046
15,6,0.2135
10,4,0.24664
8,4,0.52545
12,5,0.19727
14,5,0.36163
10,4,0.26263
8,5,0.52594
13,6,0.26184
11,4,0.31226
8,3,0.54126
14,5,0.31213
10,3,0.31238
9,3,0.32837
16,7,0.21344
14,7,0.2132
11,4,0.3125
8,4,0.32874
10,5,0.21356
15,7,0.31177
11,5,0.29547
8,5,0.27911
12,6,0.1969
13,7,0.31195
11,6,0.22986
8,6,0.36139
7,6,0.34497
4,17,0.263
17,19,0.2793
5,18,0.21332
7,8,0.31207
11,8,0.22986
8,7,0.34479
6,5,0.52551
9,7,0.27924
8,6,0.29578
7,7,0.4104
7,8,0.65723
7,7,0.93646
7,8,0.2959
5,14,0.2135
11,7,0.31207
9,7,0.37787
7,8,0.27911
8,11,0.16412
7,9,0.27936
7,9,0.83777
8,9,0.27942
6,9,0.57495
6,7,0.32837
6,5,0.22998
6,6,0.22986
6,12,0.46014
6,11,0.6571
6,12,0.32874
6,6,0.34473
7,6,0.44348
6,13,1.44556
6,14,1.90558
7,7,0.26306
6,5,1.24872
9,5,0.67383
7,5,1.11725
5,18,0.88702
8,2,0.22986
9,1,0.2796
11,1,0.54211
