MEDIA_ID,MEDIA_NAME,CNT,TIME(2015/11/18 17:39:31.605),TIMETICK(f=3117216),FPOGX,FPOGY,FPOGS,FPOGD,FPOGID,FPOGV,BPOGX,BPOGY,BPOGV,CX,CY,CS,USER,LPCX,LPCY,LPD,LPS,LPV,RPCX,RPCY,RPD,RPS,RPV,
0,Games,3742,61.47131,70152876594,0.58433,0.41104,61.12634,0.34497,161,1,0.83116,0.48936,1,0.55313,0.50293,0,,0.29042,0.28981,21.11751,0.92902,1,0.67466,0.28277,19.36610,0.93302,1,
0,Games,3766,61.86578,70154106114,0.76216,0.47704,61.53699,0.32880,162,1,0.69460,0.48909,1,0.55313,0.50293,0,,0.28990,0.29080,21.17518,0.94559,1,0.67396,0.28559,19.13932,0.95016,1,
0,Games,3786,62.19409,70155129492,0.65861,0.49568,61.88257,0.31152,163,1,0.61616,0.49058,1,0.55313,0.50293,0,,0.28653,0.29157,21.14608,0.95359,1,0.67114,0.28540,18.83274,0.94959,1,
0,Games,3803,62.47339,70156000219,0.54708,0.49191,62.21082,0.26257,164,1,0.47655,0.51111,1,0.55313,0.50293,0,,0.27612,0.29371,21.65928,0.93302,1,0.66193,0.28299,19.36810,0.93302,1,
0,Games,3828,62.88416,70157280559,0.43811,0.47592,62.49011,0.39404,165,1,0.38924,0.43878,1,0.55313,0.50293,0,,0.27162,0.29437,20.55877,0.97074,1,0.65791,0.28190,18.46829,0.97074,1,
0,Games,3841,63.09760,70157945932,0.67065,0.49455,62.90045,0.19714,166,1,0.81305,0.57511,1,0.55313,0.50293,0,,0.28897,0.29155,20.14734,0.90502,1,0.67384,0.28305,19.50413,0.90902,1,
0,Games,3861,63.42621,70158970332,0.74578,0.52579,63.11438,0.31183,167,1,0.68112,0.46962,1,0.55313,0.50293,0,,0.27884,0.29138,20.54783,0.94674,1,0.66437,0.28127,19.76884,0.94674,1,
0,Games,3884,63.80408,70160148251,0.53908,0.49054,63.49194,0.31213,168,1,0.47710,0.49556,1,0.55313,0.50293,0,,0.27327,0.29092,19.57352,0.92902,1,0.65938,0.28001,18.39012,0.93302,1,
0,Games,3912,64.26392,70161581715,0.47183,0.48601,63.82043,0.44348,169,1,0.67622,0.50305,1,0.55313,0.50293,0,,0.28082,0.29183,18.73591,0.95931,1,0.66621,0.28219,17.60930,0.95931,1,
0,Games,3934,64.62518,70162707787,0.75626,0.54463,64.32983,0.29535,170,1,0.69106,0.56162,1,0.55313,0.50293,0,,0.28335,0.29152,20.07214,0.90102,1,0.66847,0.28441,18.89710,0.90102,1,
0,Games,3956,64.98682,70163835068,0.64715,0.54747,64.64197,0.34485,171,1,0.61670,0.51465,1,0.55313,0.50293,0,,0.27778,0.29319,21.57279,0.96274,1,0.66358,0.28353,19.34211,0.96274,1,
0,Games,3981,65.39764,70165115813,0.59703,0.53240,65.00348,0.39417,172,1,0.81294,0.54531,1,0.55313,0.50293,0,,0.28522,0.29407,21.00541,0.95474,1,0.67039,0.28500,19.66944,0.95474,1,
0,Games,4007,65.82452,70166446445,0.73946,0.55673,65.46320,0.36133,173,1,0.67270,0.58546,1,0.55313,0.50293,0,,0.28270,0.29557,22.20920,0.93874,1,0.66814,0.28712,19.75380,0.93874,1,
0,Games,4028,66.16968,70167522345,0.64328,0.60609,65.84106,0.32861,174,1,0.57064,0.59707,1,0.55313,0.50293,0,,0.27931,0.29758,22.60457,0.93302,1,0.66518,0.28843,20.06841,0.93702,1,
0,Games,4048,66.49805,70168545951,0.53468,0.60239,66.18604,0.31201,175,1,0.50179,0.62255,1,0.55313,0.50293,0,,0.27510,0.29876,21.90403,0.92902,1,0.66095,0.28837,18.97487,0.93302,1,
0,Games,4065,66.77728,70169416337,0.53428,0.62381,66.51459,0.26270,176,1,0.79998,0.66256,1,0.55313,0.50293,0,,0.28565,0.29711,20.73112,0.94674,1,0.66992,0.28878,19.17762,0.95074,1,
0,Games,4087,67.13867,70170542835,0.78080,0.62500,66.84344,0.29523,177,1,0.77315,0.57933,1,0.55313,0.50293,0,,0.28241,0.29261,19.77971,0.92502,1,0.66754,0.28414,18.64042,0.92902,1,
0,Games,4102,67.38531,70171311662,0.69866,0.52187,67.15515,0.23016,178,1,0.64531,0.52408,1,0.55313,0.50293,0,,0.27805,0.29109,20.57428,0.92502,1,0.66377,0.28097,17.98208,0.92102,1,
0,Games,4127,67.79578,70172591297,0.73197,0.50926,67.40179,0.39398,179,1,0.69047,0.48862,1,0.55313,0.50293,0,,0.28221,0.28909,19.18087,0.93474,1,0.66775,0.28192,17.50435,0.93074,1,
0,Games,4143,68.05878,70173411123,0.74537,0.51341,67.81213,0.24664,180,1,0.92366,0.53437,1,0.55313,0.50293,0,,0.28976,0.29058,18.40453,0.92102,1,0.67461,0.28435,18.52737,0.91349,1,
0,Games,4161,68.35437,70174332551,0.84125,0.52771,68.12445,0.22992,181,1,0.69919,0.55518,1,0.55313,0.50293,0,,0.28366,0.29173,17.62323,0.90502,1,0.66851,0.28486,16.90460,0.90502,1,
0,Games,4181,68.68323,70175357545,0.60755,0.54409,68.42017,0.26306,182,1,0.52819,0.52936,1,0.55313,0.50293,0,,0.27130,0.29460,16.89799,0.90102,1,0.65588,0.28283,15.91420,0.90102,1,
0,Games,4200,68.99518,70176329941,0.49105,0.52893,68.69940,0.29578,183,1,0.43601,0.53917,1,0.55313,0.50293,0,,0.26775,0.29572,18.10305,0.96674,1,0.65323,0.28274,17.29366,0.96674,1,
0,Games,4214,69.22516,70177046843,0.54267,0.51549,69.01154,0.21362,184,1,0.59643,0.53345,1,0.55313,0.50293,0,,0.27241,0.29453,18.65801,0.93302,1,0.65785,0.28208,17.21846,0.93302,1,
0,Games,4228,69.45502,70177763515,0.69569,0.53443,69.24170,0.21332,185,1,0.86294,0.59216,1,0.55313,0.50293,0,,0.28339,0.29454,19.57030,0.90243,1,0.66806,0.28392,17.25613,0.90243,1,
0,Games,4249,69.80017,70178839388,0.76069,0.55046,69.47180,0.32837,186,1,0.68334,0.49315,1,0.55313,0.50293,0,,0.27949,0.28962,19.16265,0.94502,1,0.66522,0.28146,18.36706,0.94102,1,
0,Games,4271,70.16144,70179965476,0.68353,0.50818,69.81641,0.34503,187,1,0.78060,0.49731,1,0.55313,0.50293,0,,0.28571,0.29226,20.21284,0.91302,1,0.67027,0.28408,18.60227,0.91302,1,
0,Games,4305,70.72003,70181706699,0.76673,0.51819,70.17804,0.54199,188,1,0.83686,0.53223,1,0.55313,0.50293,0,,0.28582,0.29443,21.37355,0.91702,1,0.66973,0.28618,20.29575,0.91702,1,
0,Games,4320,70.96649,70182475117,0.74944,0.54975,70.73651,0.22998,189,1,0.64151,0.56652,1,0.55313,0.50293,0,,0.28052,0.29559,21.65527,0.90643,1,0.66503,0.28616,19.76493,0.90243,1,
0,Games,4340,71.29486,70183498698,0.56607,0.57773,71.03192,0.26294,190,1,0.48379,0.56358,1,0.55313,0.50293,0,,0.26888,0.29758,20.85072,0.94617,1,0.65461,0.28523,19.58534,0.95074,1,
0,Games,4366,71.72198,70184830129,0.46637,0.58503,71.31122,0.41077,191,1,0.73548,0.61290,1,0.55313,0.50293,0,,0.27683,0.29541,22.80666,0.92102,1,0.66226,0.28329,20.55946,0.92102,1,
0,Games,4384,72.01788,70185752494,0.80067,0.62490,71.78796,0.22992,192,1,0.85494,0.56673,1,0.55313,0.50293,0,,0.27962,0.29501,21.86421,0.92502,1,0.66470,0.28249,20.42953,0.92902,1,
0,Games,4403,72.33002,70186725364,0.79729,0.58645,72.03455,0.29547,193,1,0.73519,0.54586,1,0.55313,0.50293,0,,0.27793,0.29302,22.76543,0.93474,1,0.66426,0.28165,20.91181,0.93874,1,
0,Games,4423,72.65851,70187749353,0.64287,0.55360,72.34625,0.31226,194,1,0.59911,0.55683,1,0.55313,0.50293,0,,0.27185,0.29308,22.65590,0.90502,1,0.65828,0.28072,20.72189,0.90902,1,
0,Games,4439,72.92120,70188568380,0.66615,0.52892,72.67499,0.24622,195,1,0.78612,0.51929,1,0.55313,0.50293,0,,0.28009,0.29131,21.25578,0.92902,1,0.66527,0.28098,20.07259,0.93302,1,
