FPOGX,FPOGY,FPOGD
10,1,0.03253
10,3,0.65698
9,8,0.26312
9,9,0.42719
10,11,0.67322
11,12,1.28119
8,6,0.22986
8,4,0.22998
7,6,0.24622
6,6,0.41089
5,14,0.29694
6,17,0.26288
10,14,0.19714
12,5,0.42712
12,7,0.4599
11,17,0.41034
8,4,0.2793
9,17,0.27942
7,17,0.2959
9,10,0.29578
10,12,0.2301
9,16,0.29572
7,17,0.2135
5,17,0.52563
5,17,0.31226
11,16,0.41101
11,16,0.64063
11,8,0.2627
11,8,0.42719
10,16,0.44336
8,17,0.59137
8,7,0.34491
6,18,0.24652
7,17,0.37805
6,16,0.32837
6,16,0.24622
6,7,0.29535
6,10,0.21332
5,16,0.47626
7,4,0.2298
7,4,0.32861
6,6,0.18073
5,11,0.22986
5,14,0.67346
10,16,0.41052
9,14,0.31226
10,7,0.24634
10,6,0.32983
9,16,0.29541
10,15,0.29578
10,14,0.36139
7,15,0.42737
5,15,0.52563
11,14,0.263
11,14,0.29413
8,15,0.29559
7,14,0.24701
11,12,0.22986
12,11,0.2627
5,14,0.29584
7,15,0.21362
6,14,0.21399
6,14,0.41064
9,15,0.2793
9,10,0.19708
8,7,0.36139
6,14,0.27911
6,14,0.31201
7,12,0.2135
6,2,0.78851
5,7,0.21338
5,11,0.41058
6,13,0.41058
8,14,0.31226
6,11,0.23029
7,7,0.39435
9,14,0.24652
9,13,0.23004
6,12,0.41058
6,10,0.26166
6,6,0.41077
6,7,0.2298
7,10,0.29578
9,13,0.27936
6,8,0.78864
6,8,0.50897
7,5,0.1969
8,5,0.44379
7,6,0.27911
7,7,0.44366
7,8,0.3299
7,8,0.29578
7,8,0.45947
7,8,0.44354
6,8,0.24622
7,7,0.21362
7,6,0.72272
9,13,0.45966
9,14,0.3288
7,14,0.45996
7,10,0.19714
8,7,0.59167
8,7,0.37762
7,9,0.21338
7,9,0.95288
7,14,0.39398
7,15,0.37787
9,15,0.37781
8,17,0.24451
9,12,0.19714
11,7,0.36115
9,16,0.31226
8,16,0.29596
9,17,0.39423
11,16,0.2793
11,12,0.09863
11,7,0.26288
9,16,0.72272
8,14,0.46014
8,16,0.31207
7,16,0.36157
7,15,0.27924
7,12,0.19684
8,8,0.34503
8,10,0.24634
7,13,0.29565
7,12,0.55798
7,16,0.62415
7,16,0.26288
7,14,0.83789
6,17,0.22821
5,15,0.22998
7,15,0.2135
7,15,0.26306
5,11,0.29529
6,14,0.67371
5,14,0.37799
6,12,0.22986
9,16,0.36163
8,16,0.1311
5,11,1.01849
7,12,0.2627
9,13,0.19684
6,7,0.26276
6,11,0.37805
7,15,0.44385
7,14,0.34497
8,6,0.60791
11,16,0.32849
7,16,0.32861
8,15,0.23004
11,8,0.21375
11,9,0.19727
8,16,0.24634
8,15,0.2627
11,14,0.42725
11,5,0.23022
11,5,0.22968
12,12,0.3941
11,14,0.87061
10,15,0.37793
9,13,0.19708
9,7,0.22974
8,15,0.2627
8,15,0.24634
8,15,0.34503
10,13,0.36151
11,14,0.34473
9,13,0.24634
7,11,0.26257
9,15,0.31195
8,15,0.41058
7,16,0.49237
8,16,0.31201
8,14,0.39429
7,16,0.78851
8,15,0.2959
7,15,0.90363
9,15,0.47601
11,13,0.52582
8,11,0.19708
8,10,0.26276
10,11,0.23004
9,13,0.21344
9,15,0.49274
8,13,0.3634
7,11,0.23004
11,11,0.24634
11,8,0.31067
10,14,0.34485
9,15,0.27942
